"year","duration","years","track","artist"
"2010","4.12","Years 2010-2019","How We Do (Party)","Rita Ora"
"2010","3.66","Years 2010-2019","El Amante","Nicky Jam"
"2010","3.3","Years 2010-2019","Feelin' It","Scotty McCreery"
"2010","3.25","Years 2010-2019","Show Me Love","Alicia Keys Featuring Miguel"
"2010","3.7","Years 2010-2019","Stronger (What Doesn't Kill You)","Kelly Clarkson"
"2010","3.5","Years 2010-2019","Always Remember Us This Way","Lady Gaga"
"2010","4.03","Years 2010-2019","Make Me (Cry)","Noah Cyrus Featuring Labrinth"
"2010","3.33","Years 2010-2019","Turn Me On","David Guetta Featuring Nicki Minaj"
"2010","3.02","Years 2010-2019","Kiss You In The Morning","Michael Ray"
"2010","4.35","Years 2010-2019","Castle On The Hill","Ed Sheeran"
"2010","3.92","Years 2010-2019","Love Yourself","Justin Bieber"
"2010","1.59","Years 2010-2019","Everybody Dies In Their Nightmares","XXXTENTACION"
"2010","2.72","Years 2010-2019","Baby","Lil Baby & DaBaby"
"2010","3.28","Years 2010-2019","Never Gonna Leave This Bed","Maroon 5"
"2010","3.13","Years 2010-2019","All Gold Everything","Trinidad James"
"2010","3.78","Years 2010-2019","Who Do You Love","The Chainsmokers Featuring 5 Seconds Of Summer"
"2010","3.78","Years 2010-2019","Beauty And A Beat","Justin Bieber Featuring Nicki Minaj"
"2010","3.89","Years 2010-2019","Heart Attack","Trey Songz"
"2010","2.67","Years 2010-2019","Ophelia","The Lumineers"
"2010","3.39","Years 2010-2019","Lettin' The Night Roll","Justin Moore"
"2010","3.76","Years 2010-2019","This Is America","Childish Gambino"
"2010","3.11","Years 2010-2019","My Songs Know What You Did In The Dark (Light Em Up)","Fall Out Boy"
"2010","3.91","Years 2010-2019","Freak The Freak Out","Victorious Cast Featuring Victoria Justice"
"2010","4.56","Years 2010-2019","Alone","Marshmello"
"2010","3.33","Years 2010-2019","American Country Love Song","Jake Owen"
"2010","3.22","Years 2010-2019","Sick Boy","The Chainsmokers"
"2010","3.38","Years 2010-2019","If I Didn't Have You","Thompson Square"
"2010","3.45","Years 2010-2019","Can't Remember To Forget You","Shakira Featuring Rihanna"
"2010","2.73","Years 2010-2019","You Was Right","Lil Uzi Vert"
"2010","5","Years 2010-2019","Make Love","Gucci Mane & Nicki Minaj"
"2010","5.02","Years 2010-2019","Alice","Avril Lavigne"
"2010","3.6","Years 2010-2019","The Breath You Take","George Strait"
"2010","4.18","Years 2010-2019","What's The Move","Young Thug Featuring Lil Uzi Vert"
"2010","3.72","Years 2010-2019","You Can't Stop The Beat","Glee Cast"
"2010","2.96","Years 2010-2019","I'm Not Gonna Miss You","Glen Campbell"
"2010","3.28","Years 2010-2019","679","Fetty Wap Featuring Remy Boyz"
"2010","2.51","Years 2010-2019","Bad Vibes Forever","XXXTENTACION Featuring PnB Rock & Trippie Redd"
"2010","4.39","Years 2010-2019","Come Wake Me Up","Rascal Flatts"
"2010","3.98","Years 2010-2019","Is Anybody Out There?","K'Naan Featuring Nelly Furtado"
"2010","3.29","Years 2010-2019","Diamond Rings And Old Barstools","Tim McGraw With Catherine Dunn"
"2010","3.77","Years 2010-2019","In The Dark","Dev"
"2010","4.27","Years 2010-2019","Don't You Wanna Stay","Jason Aldean With Kelly Clarkson"
"2010","3.39","Years 2010-2019","Alone Together","Fall Out Boy"
"2010","4.72","Years 2010-2019","Tattoo","Van Halen"
"2010","2.95","Years 2010-2019","Crew","GoldLink Featuring Brent Faiyaz & Shy Glizzy"
"2010","3.92","Years 2010-2019","No Heart","21 Savage & Metro Boomin"
"2010","3.59","Years 2010-2019","All Eyez","The Game Featuring Jeremih"
"2010","4.43","Years 2010-2019","Secrets","The Weeknd"
"2010","3.36","Years 2010-2019","You Don't Own Me","Grace Featuring G-Eazy"
"2010","3.98","Years 2010-2019","Coming Home","Diddy - Dirty Money Featuring Skylar Grey"
"2010","3.14","Years 2010-2019","Sin Pijama","Becky G + Natti Natasha"
"2010","3.63","Years 2010-2019","I Knew You Were Trouble.","Taylor Swift"
"2010","2.77","Years 2010-2019","Twerk","City Girls Featuring Cardi B"
"2010","3.22","Years 2010-2019","HandClap","Fitz And The Tantrums"
"2010","4.65","Years 2010-2019","Writing's On The Wall","Sam Smith"
"2010","3.26","Years 2010-2019","Female","Keith Urban"
"2010","3.55","Years 2010-2019","Blame","Calvin Harris Featuring John Newman"
"2010","3.76","Years 2010-2019","Daylight","Maroon 5"
"2010","3.51","Years 2010-2019","The Dance","Lauren Duski"
"2010","4.24","Years 2010-2019","First Day Out","Tee Grizzley"
"2010","4.22","Years 2010-2019","Love Me","Lil Wayne Featuring Drake & Future"
"2010","3.36","Years 2010-2019","Where I Come From","Montgomery Gentry"
"2010","3.7","Years 2010-2019","Paranoid","Post Malone"
"2010","2.97","Years 2010-2019","Don't Call Me Up","Mabel"
"2010","3.85","Years 2010-2019","Broken Clocks","SZA"
"2010","3.32","Years 2010-2019","Sexy And I Know It","LMFAO"
"2010","3.59","Years 2010-2019","Relationship","Young Thug Featuring Future"
"2010","4.41","Years 2010-2019","Apes**t","The Carters"
"2010","4.51","Years 2010-2019","Sing","My Chemical Romance"
